Finding No.,Support Type,Insulation,Fluid,Operating Temperature (minimum),Operating Temperature (maximum),Material,Coating,Primer,Mist,Intermediate,Finish,Anti-Corrosion,Environment,Severity
Sulfuric-P01-R01,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P01-R02,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P01-R03,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P01-R04,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P01-R05,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P02-R01,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P02-R02,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P02-R03,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P02-R04,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P02-R05,Saddle support,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P03-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P03-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P03-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P03-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P03-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P04-R01,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P04-R02,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P04-R03,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P04-R04,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Sulfuric-P04-R05,Welded skid,No,Sulfuric acid,36.0,36.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P05-R01,Guide,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P05-R02,Pipework resting on beam,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Ammonia-P05-R03,Guide,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Ammonia-P05-R04,Pipework resting on beam,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Ammonia-P05-R05,Guide,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Ammonia-P06-R01,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P06-R02,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P06-R03,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P06-R04,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P06-R05,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P07-R01,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P07-R02,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P07-R03,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P07-R04,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P07-R05,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P08-R01,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P08-R02,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P08-R03,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P08-R04,Saddle support+shoe,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Ammonia-P08-R05,Saddle support,No,Ammonia,-30.0,35.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P05-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P05-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P05-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P05-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P05-R05,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P06-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P06-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P06-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P06-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P06-R05,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P07-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P07-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P07-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P07-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P07-R05,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P08-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P08-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P08-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P08-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P08-R05,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P05-R01,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LPG-P05-R02,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LPG-P05-R03,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LPG-P05-R04,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LPG-P05-R05,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LPG-P06-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P06-R02,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P06-R03,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P06-R04,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P06-R05,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P07-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P07-R02,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P07-R03,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P07-R04,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P07-R05,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P08-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P08-R02,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P08-R03,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P08-R04,Saddle support+guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LPG-P08-R05,Saddle support,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P05-R01,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P05-R02,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P05-R03,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P05-R04,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P05-R05,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P06-R01,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P06-R02,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P06-R03,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P06-R04,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P06-R05,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P7-R01,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P07-R02,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P07-R03,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P07-R04,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P07-R05,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P08-R01,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P08-R02,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P08-R03,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P08-R04,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P08-R05,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P05-R01,Guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P05-R02,Pipework resting on beam,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Propylene-P05-R03,Guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Propylene-P05-R04,Pipework resting on beam,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
Propylene-P05-R05,Guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P06-R01,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P06-R02,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P06-R03,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P06-R04,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P06-R05,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P07-R01,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P07-R02,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P07-R03,Saddle support,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
Propylene-P07-R04,Saddle support+guide,No,Propylene,26.0,36.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
