Finding No.,Support Type,Insulation,Fluid,Operating Temperature (minimum),Operating Temperature (maximum),Material,Coating,Primer,Mist,Intermediate,Finish,Anti-Corrosion,Environment,Severity
AN-P02-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P02-R03,Pipework resting on beam,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P02-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P03-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P03-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P03-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P03-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P03-R05,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P04-R01,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P04-R02,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P04-R03,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
AN-P04-R04,Bolted skid,Yes,Acrylonitrile,15.0,19.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P01-R01,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P01-R02,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P01-R03,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P01-R04,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P02-R01,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P02-R02,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P02-R03,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P03-R01,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P03-R02,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P03-R03,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P03-R04,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P03-R05,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P04-R01,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P04-R02,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P04-R03,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,1
LNG-P04-R04,Pipework resting on beam,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
LNG-P04-R05,Guide,No,Liquefied Petroleum Gas,15.0,27.0,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P01-R01,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P01-R02,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P01-R03,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P01-R04,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
MMA-P01-R05,Bolted skid,Yes,Methyl Methacrylate,10.0,24.0,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,0
